as,Aeronautical Science (AS)
sf,Aerospace and Occupational Safety (SF)
ae,Aerospace Engineering (AE)
af,Air Force Aerospace Studies (AF)
at,Air Traffic Management (AT)
ams,Aviation Maintenance Science (AMS)
ba,Business Administration (BA)
lch,Chinese (LCH)
civ,Civil Engineering (CIV)
cso,Commercial Space Operations (CSO)
com,Communication (COM)
cec,Computer Engineering (CEC)
cs,Computer Science (CS)
ec,Economics (EC)
ee,Electrical Engineering (EE)
egr,Engineering (EGR)
ep,Engineering Physics (EP)
es,Engineering Science (ES)
fa,Flight Airplane (FA)
hs,Homeland Security (HS)
hon,Honors (HON)
hf,Human Factors (HF)
hu,Humanities (HU)
it,Information Technology (IT)
ma,Mathematics (MA)
me,Mechanical Engineering (ME)
msl,Military Science Army ROTC (MSL)
nsc,Naval Science (NSC)
pe,Physical Education (PE)
ps,Physical Science (PS)
psy,Psychology (PSY)
sim,Simulation (SIM)
ss,Social Science (SS)
se,Software Engineering (SE)
sp,Spaces Studies (SP)
lsp,Spanish (LSP)
sys,Systems Engineering (SYS)
univ,University Student Success (UNIV)
wx,Weather (WX)
